,precision,recall,f1-score,support
animal fish,0.9752851711026616,0.9865384615384616,0.9808795411089866,520.0
animal fish bass,0.0,0.0,0.0,13.0
fish sea_food black_sea_sprat,0.8651026392961877,0.9899328859060402,0.9233176838810642,298.0
fish sea_food gilt_head_bream,0.9266409266409267,0.7868852459016393,0.851063829787234,305.0
fish sea_food hourse_mackerel,0.7595628415300546,0.972027972027972,0.852760736196319,286.0
fish sea_food red_mullet,0.9887640449438202,0.9072164948453608,0.946236559139785,291.0
fish sea_food red_sea_bream,0.8481481481481481,0.8388278388278388,0.8434622467771639,273.0
fish sea_food sea_bass,0.9296296296296296,0.7675840978593272,0.8408710217755444,327.0
fish sea_food shrimp,0.8427299703264095,0.9826989619377162,0.9073482428115016,289.0
fish sea_food striped_red_mullet,0.8837209302325582,0.7781569965870307,0.8275862068965517,293.0
fish sea_food trout,0.9829351535836177,0.9863013698630136,0.9846153846153847,292.0
accuracy,0.9005334170065893,0.9005334170065893,0.9005334170065893,0.9005334170065893
macro avg,0.8184108595849103,0.8178336659358546,0.8143764957263214,3187.0
weighted avg,0.9029084593748352,0.9005334170065893,0.8978566109544511,3187.0
