,precision,recall,f1-score,support
animal fish,1.0,0.9903846153846154,0.9951690821256038,520.0
fish sea_food black_sea_sprat,0.9485530546623794,0.9899328859060402,0.9688013136288999,298.0
fish sea_food gilt_head_bream,0.9283276450511946,0.8918032786885246,0.9096989966555183,305.0
fish sea_food hourse_mackerel,0.9758620689655172,0.9895104895104895,0.9826388888888888,286.0
fish sea_food red_mullet,0.9797979797979798,1.0,0.9897959183673469,291.0
fish sea_food red_sea_bream,0.9910714285714286,0.8131868131868132,0.8933601609657947,273.0
fish sea_food sea_bass,0.8739495798319328,0.9541284403669725,0.9122807017543859,327.0
fish sea_food shrimp,0.993103448275862,0.9965397923875432,0.9948186528497409,289.0
fish sea_food striped_red_mullet,0.9689655172413794,0.9590443686006825,0.9639794168096055,293.0
fish sea_food trout,0.9511400651465798,1.0,0.9749582637729549,292.0
accuracy,0.9612476370510397,0.9612476370510397,0.9612476370510397,0.9612476370510397
macro avg,0.9610770787544254,0.9584530684031682,0.9585501395818739,3174.0
weighted avg,0.962513298867878,0.9612476370510397,0.9607919750635219,3174.0
